tender_id,event_type,department_id,supplier_id,bid_count,contract_amount,payment_amount,event_date
TND-2024-0101,TENDER_CREATED,DEPT-PUBLIC-WORKS,,,,,2024-01-15
TND-2024-0101,BID_SUBMITTED,DEPT-PUBLIC-WORKS,SUP-ALPHA-001,1,,,2024-01-20
TND-2024-0101,BID_SUBMITTED,DEPT-PUBLIC-WORKS,SUP-BETA-002,2,,,2024-01-21
TND-2024-0101,AWARD_GRANTED,DEPT-PUBLIC-WORKS,SUP-ALPHA-001,2,1500000,,2024-01-25
TND-2024-0101,PAYMENT_MADE,DEPT-PUBLIC-WORKS,SUP-ALPHA-001,,,1500000,2024-02-15
TND-2024-0102,TENDER_CREATED,DEPT-HEALTH,,,,,2024-02-01
TND-2024-0102,BID_SUBMITTED,DEPT-HEALTH,SUP-GAMMA-003,1,,,2024-02-05
TND-2024-0102,AWARD_GRANTED,DEPT-HEALTH,SUP-GAMMA-003,1,2500000,,2024-02-10
TND-2024-0102,PAYMENT_MADE,DEPT-HEALTH,SUP-GAMMA-003,,,1250000,2024-03-01
TND-2024-0102,PAYMENT_MADE,DEPT-HEALTH,SUP-GAMMA-003,,,1250000,2024-03-15
TND-2024-0103,TENDER_CREATED,DEPT-EDUCATION,,,,,2024-02-10
TND-2024-0103,BID_SUBMITTED,DEPT-EDUCATION,SUP-ALPHA-001,1,,,2024-02-15
TND-2024-0103,BID_SUBMITTED,DEPT-EDUCATION,SUP-DELTA-004,2,,,2024-02-16
TND-2024-0103,BID_SUBMITTED,DEPT-EDUCATION,SUP-BETA-002,3,,,2024-02-17
TND-2024-0103,AWARD_GRANTED,DEPT-EDUCATION,SUP-ALPHA-001,3,850000,,2024-02-20
TND-2024-0104,TENDER_CREATED,DEPT-PUBLIC-WORKS,,,,,2024-03-01
TND-2024-0104,BID_SUBMITTED,DEPT-PUBLIC-WORKS,SUP-ALPHA-001,1,,,2024-03-05
TND-2024-0104,AWARD_GRANTED,DEPT-PUBLIC-WORKS,SUP-ALPHA-001,1,5500000,,2024-03-10
TND-2024-0105,TENDER_CREATED,DEPT-TRANSPORT,,,,,2024-03-15
TND-2024-0105,BID_SUBMITTED,DEPT-TRANSPORT,SUP-BETA-002,1,,,2024-03-20
TND-2024-0105,BID_SUBMITTED,DEPT-TRANSPORT,SUP-GAMMA-003,2,,,2024-03-21
TND-2024-0105,AWARD_GRANTED,DEPT-TRANSPORT,SUP-GAMMA-003,2,1200000,,2024-03-25
